Quest/Stage Id,Name,LargeImageKey
100000,Prologue: The Forgotten Sky,st08
100001,Chapter 1: The Western Frontier,st00
100002,Prologue: The Forgotten Sky,st08
100003,Chapter 1: The Western Frontier,st00
100005,Prologue: The Forgotten Sky,st08
100006,Prologue: The Forgotten Sky,st08
101000,Chapter 1: The Western Frontier,folca
101001,Chapter 2: Tempest On The Horizon,st01
101002,Chapter 2: Tempest On The Horizon,st01
101003,Chapter 3: Creation Of The Stars,st03
101004,Chapter 3: Creation Of The Stars,st03
101005,Chapter 3: Creation Of The Stars,st03
101F00,Chapter 2: Tempest On The Horizon,st08
102000,Chapter 4: Skies Forever Blue,folca
102002,Chapter 4: Skies Forever Blue,st02
102F00,Chapter 4: Skies Forever Blue,st08
103001,Chapter 5: Shadows In The Snowscape,st03
103F00,Chapter 5: Shadows In The Snowscape,st03
104000,Chapter 6: In Search Of Hope,seedhollow
104001,Chapter 6: In Search Of Hope,st04
104003,Chapter 6: In Search Of Hope,st04
104F00,Chapter 6: In Search Of Hope,st03
104F01,Chapter 6: In Search Of Hope,st08
105001,Chapter 7: Warning Signs,st05
105002,Chapter 7: Warning Signs,st08
105F00,Chapter 7: Warning Signs,st08
105F01,Chapter 7: Warning Signs,st08
106000,Chapter 8: Relink,st06
106001,Chapter 8: Relink,st06
106002,Chapter 8: Relink,st06
106F00,Chapter 8: Relink,st08
107000,Chapter 9: Opposing Wills,st06
107001,Chapter 9: Opposing Wills,st07
107002,Chapter 9: Opposing Wills,st07
107F00,Chapter 9: Opposing Wills,st08
108000,Final Chapter: Id,st08
108001,Final Chapter: Id,st08
108002,Final Chapter: Id,st08
108F00,Final Chapter: Id,st08
200000,"Rimpianto persistente"
200001,"Salva i crostacei"
200002,"Funghi miracolosi"
200003,"Vicini molesti"
200100,"Risultati garantiti"
200101,"Pietre preziose"
200102,"Cieli infestati"
200103,"Sogni museali"
200104,"Il tempo aggiusta tutto"
200200,"Ricordi ghiacciati"
200201,"Notti fragili"
210220,"Lo spirito dimenticato"
210221,"Cuore di ghiaccio"
210223,"Recupero elica"
210225,"Prove di colore"
210227,"Rapporto sulla famiglia"
210228,"Lupi alla porta"
210229,"Aiuto da lontano"
200400,"Gusto prelibato"
200401,"Nuovi spunti"
210420,"A caccia di insetti"
210421,"Compagno di allenamento"
210423,"Ricetta piccante"
210425,"Rivalsa serpentina"
210427,"Congedo violento"
210428,"L'ira del Velo di Lama"
201002,"Strano talismano"
201005,"Problemi all'elica"
201006,"Al fianco delle truppe"
201007,"Sulla punta della lingua"
211021,"Occhio per occhio"
211023,"Maledetti volatili"
211025,"Risparmio energetico"
211027,"Ossa refrigeranti"
211030,"Magimorfosi"
201102,"Da predatori a prede"
211121,"Tecnologia sensibile"
211123,"Macchina senziente"
211125,"Studi appiccicosi"
211130,"Scoperte impreviste"
211230,"Salto nel buio"
211330,"Lezione di scienza"
211430,"Nessuna sorpresa"
211530,"Ricordi ventosi"
202002,"Ricerca sul campo"
202005,"Nontiscordardimé"
202006,"Mai esagerare"
202007,"Pietre divine"
202010,"Purificare i defunti"
212021,"Nuove avventure"
212024,"Recupera e ricicla"
212026,"Scorte idriche"
212030,"Affari in fiamme"
212031,"Ombre da incubo"
212130,"Luci e ombre"
212230,"Studiare con prudenza"
212330,"Acqua primordiale"
212430,"Terra madre"
212530,"Vento in poppa"
203006,"Sicurezza domestica"
203007,"Scorte in eccesso"
203011,"Scultura di fuoco"
213021,"Tentativi ripetuti"
213022,"Forza inarrestabile"
213024,"Visione di portali"
213026,"Visione di prosperità"
213032,"Visione di reclusione"
213033,"Visione di fortificazione"
213034,"Visione di terrore"
203111,"Scultura di ghiaccio"
203211,"Scultura di terra"
203311,"Scultura di vento"
204005,"Occhi diabolici"
204006,"Tempi d'oro"
204007,"Solidarietà tra colleghi"
204011,"Fonti dubbie"
204012,"Richiesta particolare"
204013,"Vendicare i defunti"
214024,"Ripulire la fattoria"
214026,"Occhi indiscreti"
